desired_rating_thresholds
role,desired_rating_threshold
Batter,1.86
Bowler,36.05
Allrounder,39.67
Wicket Keeper,28.15

Batter_table
player_name,selection_score,base_rating,sample_size,reason,batting_score,bowling_score,fielding_score
Sharman,23.26,29.78,13,desired_rating,35.11,0.0,14.08
Arun Joshi,21.4,28.21,7,desired_rating,33.44,0.0,12.5
Naveen,17.82,16.23,15,desired_rating,18.4,31.16,1.88
Kishore D,16.78,1.86,3,desired_rating,0.0,37.21,0.0

Bowler_table
player_name,selection_score,base_rating,sample_size,reason,batting_score,bowling_score,fielding_score
Ashok,39.38,45.44,19,desired_rating,0.0,55.38,13.16
Suresh Gopal,38.54,41.94,29,desired_rating,2.03,52.26,6.32
Ragu,34.77,36.21,16,desired_rating,8.48,41.02,22.28
Prabu,34.1,36.05,5,desired_rating,37.02,42.13,7.87

Allrounder_table
player_name,selection_score,base_rating,sample_size,reason,batting_score,bowling_score,fielding_score
Balamurugan,44.54,46.11,21,desired_rating,46.38,58.37,11.81
Sathish KK,41.28,39.67,20,desired_rating,39.41,53.17,3.57

Wicket Keeper_table
player_name,selection_score,base_rating,sample_size,reason,batting_score,bowling_score,fielding_score
Gowtham,27.12,28.15,12,desired_rating,37.81,10.99,19.91

